Thorlabs Shack-Hartmann Wavefront Sensor

Model                  ,       WFS20-5C
Serial Number          ,       M00578372

Date MM-DD-YYYY        ,       07-11-2024
Time HH:MM:SS          ,       16:18:11


*** CAMERA ***
Camera Type            ,       Thorlabs WFS20
Camera SN              ,       742
Resolution X           ,       1440
Resolution Y           ,       1080
Exposure Time [ms]     ,       0.010
Master Gain            ,       1.000
Averages               ,       1
Average Type           ,       Normal


*** BEAM ***
Beam Center X [mm]     ,       0.017
Beam Center Y [mm]     ,       0.313
Beam Diameter X [mm]   ,       6.714
Beam Diameter Y [mm]   ,       5.187


*** PUPIL ***
Circular               ,       1
Use Beam Centroid      ,       0
Use Beam Dia           ,       0
Wavefront Calc In Pupil,       0
Pupil Diameter X [mm]  ,       5.304
Pupil Diameter Y [mm]  ,       5.304
Pupil Center X [mm]    ,       0.000
Pupil Center Y [mm]    ,       0.000


*** POWER DISTRIBUTION [a.u.] ***
Power points X         ,       47
Power points Y         ,       35
     663,     710,     968,    1007,    1117,    1319,    1558,    1545,    1752,    1800,    1909,    2107,    1965,    2314,    2470,    2613,    2683,    2832,    2818,    2882,    2920,    3004,    3113,    2992,    2922,    3148,    3036,    3100,    2619,    2841,    2819,    2563,    2602,    2401,    2317,    2252,    2077,    1999,    1878,    1682,    1567,    1475,    1288,    1182,    1069,    1000,     861,
     710,     945,     990,    1188,    1227,    1496,    1508,    1751,    1853,    2052,    2178,    2251,    2101,    2685,    2707,    2675,    2910,    2955,    3045,    3038,    2888,    3215,    3241,    3114,    3257,    3244,    3151,    3095,    2947,    3006,    2857,    2818,    2735,    2648,    2441,    2295,    2231,    2196,    2035,    1742,    1628,    1536,    1381,    1298,    1050,    1063,     887,
     823,     761,    1073,    1066,    1282,    1494,    1615,    1874,    1895,    1981,    2088,    2263,    2747,    2568,    3014,    2957,    3103,    3238,    3130,    3266,    3290,    3424,    1496,    1949,    3586,    3230,    3320,    3315,    3147,    2953,    3003,    3060,    2982,    2774,    2519,    2505,    2281,    2270,    2185,    1790,    1786,    1521,    1538,    1336,    1072,    1057,     970,
     853,    1005,    1124,    1270,    1473,    1647,    1619,    2054,    1930,    2285,    2350,    2442,    2751,    2946,    2987,    2925,    3174,    3424,    3442,    3458,    3487,    3794,    3883,    3740,    3778,    3800,    3751,    3674,    3546,    3468,    3382,    3279,    3142,    2929,    2949,    2765,    2665,    2495,    2354,    2089,    2040,    1768,    1689,    1430,    1335,    1303,    1014,
     887,    1112,    1091,    1474,    1542,    1696,    1643,    2061,    2135,    2363,    2546,    2641,    2914,    3044,    3099,    3145,    3273,    3575,    3585,    3744,    3973,    3904,    3872,    3972,    3907,    3822,    3861,    3900,    3725,    3754,    3601,    3496,    3298,    3223,    3083,    2863,    2838,    2655,    2268,    2258,    2158,    1995,    1825,    1635,    1450,    1277,    1201,
    1021,    1061,     967,    1417,    1622,    1810,    1958,    2180,    2190,    2145,    2486,    2767,    2963,    3049,    3356,    3401,    3568,    3736,    3993,    3772,    4081,    3984,    3988,    4056,    4032,    3957,    3842,    4284,    3832,    3950,    3839,    3496,    3428,    3393,    3026,    2362,    2139,    2466,    2465,    2319,    2317,    1950,    1804,    1655,    1147,    1343,    1101,
     984,    1201,    1230,    1418,    1589,    1801,    1951,    2204,    2498,    2427,    2555,    2758,    3289,    3104,    3440,    3592,    3620,    3981,    3919,    4087,    4204,    4008,    4264,    4210,    4031,    3870,    3910,    4288,    3953,    4120,    3994,    3705,    3633,    3381,    3171,    3059,    2769,    2652,    2027,    2463,    2264,    2061,    1903,    1701,    1524,    1338,    1223,
    1038,     863,    1393,    1562,    1652,    1892,    1948,    2194,    2381,    2648,    2945,    3013,    2914,    3360,    3429,    3454,    3760,    4045,    4074,    3913,    4018,    4062,    4258,    4480,    4570,    4296,    3925,    3528,    2152,    2936,    3979,    3702,    3630,    3557,    3235,    2914,    2741,    2685,    2697,    2348,    2306,    2217,    1941,    1819,    1548,    1649,     996,
     988,    1209,    1318,    1458,    1615,    1864,    1887,    2300,    2532,    2569,    2731,    2885,    3130,    3453,    3548,    3703,    3889,    4073,    3898,    4041,    4228,    4490,    4071,    4124,    5180,    5480,    4848,    3747,    4720,    2820,    4118,    3820,    3725,    3479,    3384,    3193,    2919,    2896,    2697,    2459,    2356,    2108,    2034,    1911,    1767,    1476,    1294,
    1101,    1054,    1343,    1565,    1676,    1860,    2089,    2365,    2433,    2642,    2831,    2913,    3307,    3501,    3641,    3661,    3844,    4268,    4234,    4146,    4192,    4366,    4488,    4814,    4336,    3612,    4440,    5034,    4118,    2975,    4156,    3947,    3826,    3689,    3464,    3386,    3199,    2897,    2834,    2589,    2269,    2187,    2048,    1714,    1572,    1562,    1292,
