Thorlabs Shack-Hartmann Wavefront Sensor

Model                  ,       WFS20-5C
Serial Number          ,       M00578372

Date MM-DD-YYYY        ,       07-08-2024
Time HH:MM:SS          ,       15:56:13


*** CAMERA ***
Camera Type            ,       Thorlabs WFS20
Camera SN              ,       742
Resolution X           ,       1440
Resolution Y           ,       1080
Exposure Time [ms]     ,       0.010
Master Gain            ,       1.000
Averages               ,       1
Average Type           ,       Normal


*** BEAM ***
Beam Center X [mm]     ,       1.350
Beam Center Y [mm]     ,      -1.000
Beam Diameter X [mm]   ,       5.784
Beam Diameter Y [mm]   ,       4.818


*** PUPIL ***
Circular               ,       1
Use Beam Centroid      ,       0
Use Beam Dia           ,       0
Wavefront Calc In Pupil,       0
Pupil Diameter X [mm]  ,       5.304
Pupil Diameter Y [mm]  ,       5.304
Pupil Center X [mm]    ,       0.000
Pupil Center Y [mm]    ,       0.000


*** CENTROIDS [pixels] ***
Centroids X            ,       47
Centroids Y            ,       35
     NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,  339.473,  38.621,  370.586,  39.538,  401.535,  40.370,  432.446,  41.395,  463.427,  42.402,  494.000,  43.000,  513.600,  58.386,  544.000,  59.000,  567.553,  55.433,  598.033,  56.078,  629.487,  57.379,  660.951,  58.886,  692.296,  60.000,  722.036,  59.235,  750.966,  56.460,  780.272,  55.224,  809.983,  54.424,  839.774,  54.092,  869.591,  53.773,  899.290,  53.458,  929.252,  53.148,  958.958,  52.944,  988.995,  52.567, 1018.841,  52.180, 1048.629,  52.262, 1078.650,  52.103, 1108.558,  51.753, 1138.458,  51.916, 1168.490,  51.646, 1198.288,  51.684, 1228.287,  51.655, 1258.237,  51.695, 1288.060,  51.674, 1317.935,  51.587, 1348.024,  51.502, 1377.291,  51.956, 1406.533,  50.325, 
     NaN,     NaN,   65.438,  68.867,   96.465,  70.185,  127.000,  71.000,  151.811,  75.276,  182.534,  76.274,  213.496,  77.511,  244.000,  78.000,  265.568,  64.192,  296.436,  65.222,  327.483,  66.305,  358.216,  67.288,  389.000,  68.000,  410.425,  73.297,  441.631,  74.419,  472.000,  75.000,  508.631,  85.600,  539.393,  86.290,  570.291,  87.154,  601.980,  88.238,  633.059,  89.870,  661.933,  87.751,  690.768,  85.157,  720.493,  84.832,  750.022,  84.053,  779.707,  83.555,  809.556,  83.073,  839.388,  82.835,  869.300,  82.574,  899.115,  82.269,  929.060,  82.019,  958.833,  81.772,  988.899,  81.513, 1018.757,  81.366, 1048.559,  81.327, 1078.622,  81.172, 1108.511,  81.111, 1138.366,  80.977, 1168.378,  80.888, 1198.292,  80.836, 1228.340,  80.797, 1258.159,  80.797, 1288.177,  80.669, 1318.147,  80.743, 1348.142,  80.858, 1378.088,  80.682, 1406.294,  81.235, 
     NaN,     NaN,   49.575,  95.316,   80.868,  96.335,  111.516,  97.526,  142.166,  98.328,  172.597,  99.285,  203.587, 100.037,  234.000, 101.000,  252.000,  94.000,  297.626, 102.246,  328.618, 103.003,  359.348, 104.098,  390.573, 105.163,  421.000, 106.000,  448.525, 114.172,  479.912, 115.287,  511.773, 116.259,  542.521, 117.795,  573.456, 119.645,  602.074, 117.007,  630.753, 115.084,  660.383, 114.033,  690.370, 113.889,  719.948, 113.280,  749.572, 112.631,  779.562, 112.456,  809.268, 112.055,  839.212, 111.929,  869.009, 111.594,  899.045, 111.439,  928.790, 111.315,  958.766, 111.083,  988.691, 110.918, 1018.678, 110.800, 1048.577, 110.635, 1078.543, 110.584, 1108.567, 110.489, 1138.317, 110.367, 1168.367, 110.285, 1198.271, 110.289, 1228.272, 110.136, 1258.360, 110.133, 1288.219, 110.126, 1318.171, 110.201, 1348.124, 110.213, 1378.128, 110.247, 1408.065, 110.335, 
     NaN,     NaN,   62.239, 125.099,   93.011, 126.535,  124.255, 127.430,  154.721, 128.275,  185.414, 129.290,  216.000, 130.000,  234.227, 138.370,  265.992, 139.350,  296.495, 140.404,  327.895, 141.961,  358.649, 143.236,  389.309, 144.152,  420.298, 145.735,  451.618, 147.051,  482.949, 148.266,  514.140, 149.620,  542.516, 147.009,  571.285, 144.962,  600.755, 144.293,  630.345, 143.602,  659.942, 142.953,  689.642, 142.535,  719.594, 142.188,  749.311, 141.962,  779.271, 141.667,  809.081, 141.441,  839.000, 141.093,  868.854, 140.976,  898.755, 140.685,  928.815, 140.601,  958.634, 140.463,  988.562, 140.268, 1018.548, 140.247, 1048.441, 139.997, 1078.448, 139.908, 1108.458, 139.944, 1138.264, 139.788, 1168.413, 139.751, 1198.327, 139.679, 1228.307, 139.569, 1258.252, 139.639, 1288.245, 139.668, 1318.159, 139.561, 1348.201, 139.614, 1378.227, 139.621, 1408.112, 139.565, 
     NaN,     NaN,   53.269, 153.838,   84.925, 155.749,  116.146, 157.098,  146.619, 159.506,  176.121, 161.671,  207.373, 163.447,  238.241, 165.326,  269.399, 167.411,  300.488, 169.549,  331.253, 171.563,  361.737, 173.802,  392.849, 175.778,  423.566, 177.389,  454.308, 178.923,  483.335, 177.645,  511.567, 174.923,  540.970, 174.109,  570.596, 173.495,  600.149, 172.910,  629.820, 172.450,  659.713, 172.053,  689.428, 171.659,  719.341, 171.381,  749.091, 171.190,  779.028, 170.827,  808.805, 170.685,  838.768, 170.440,  868.687, 170.309,  898.646, 170.199,  928.639, 170.011,  958.517, 169.828,  988.389, 169.804, 1018.470, 169.651, 1048.310, 169.407, 1078.458, 169.508, 1108.375, 169.375, 1138.340, 169.307, 1168.364, 169.304, 1198.234, 169.219, 1228.282, 169.170, 1258.277, 169.141, 1288.323, 169.193, 1318.175, 169.061, 1348.224, 169.191, 1378.197, 169.200, 1408.197, 169.194, 
     NaN,     NaN,   54.880, 193.133,   85.582, 194.016,  116.789, 196.438,  147.045, 197.826,  177.955, 199.701,  209.265, 200.315,  240.333, 201.211,  271.452, 202.954,  302.031, 204.061,  332.149, 205.154,  362.720, 206.540,  393.896, 207.167,  424.631, 208.807,  452.276, 205.461,  481.463, 204.227,  510.887, 203.581,  540.436, 202.853,  569.963, 202.422,  599.843, 201.985,  629.520, 201.661,  659.338, 201.278,  689.152, 200.992,  719.008, 200.805,  748.908, 200.608,  778.809, 200.285,  808.735, 200.110,  838.584, 199.997,  868.539, 199.793,  898.498, 199.675,  928.470, 199.521,  958.365, 199.404,  988.420, 199.301, 1018.368, 199.298, 1048.361, 199.078, 1078.321, 199.036, 1108.345, 199.034, 1138.292, 198.943, 1168.267, 198.855, 1198.254, 198.846, 1228.269, 198.796, 1258.247, 198.765, 1288.289, 198.778, 1318.268, 198.786, 1348.257, 198.798, 1378.247, 198.781, 1408.265, 198.774, 
     NaN,     NaN,   55.584, 210.984,   86.550, 212.521,  117.492, 213.593,  148.821, 216.942,  178.339, 219.133,  209.746, 222.753,  241.318, 226.051,  273.386, 229.656,  304.357, 232.156,  334.000, 235.405,  364.864, 238.545,  393.714, 237.014,  421.958, 234.588,  451.287, 233.620,  480.745, 233.071,  510.295, 232.527,  540.031, 232.052,  569.730, 231.673,  599.545, 231.327,  629.288, 230.984,  659.119, 230.683,  688.957, 230.473,  718.828, 230.288,  748.718, 230.062,  778.725, 229.864,  808.548, 229.694,  838.495, 229.441,  868.502, 229.433,  898.350, 229.234,  928.371, 229.107,  958.342, 229.093,  988.314, 228.968, 1018.334, 228.959, 1048.262, 228.844, 1078.310, 228.752, 1108.280, 228.678, 1138.257, 228.743, 1168.324, 228.505, 1198.275, 228.519, 1228.288, 228.521, 1258.298, 228.429, 1288.315, 228.437, 1318.273, 228.488, 1348.264, 228.416, 1378.285, 228.362, 1408.319, 228.426, 
     NaN,     NaN,   54.839, 241.589,   86.266, 243.872,  116.986, 246.831,  147.713, 250.409,  176.259, 253.530,  208.007, 257.216,  239.342, 259.946,  271.778, 263.380,  303.602, 265.551,  335.223, 268.470,  362.931, 265.329,  391.792, 264.005,  421.122, 263.245,  450.621, 262.704,  480.182, 262.153,  509.937, 261.806,  539.687, 261.364,  569.476, 260.910,  599.233, 260.674,  628.963, 260.421,  658.981, 260.069,  688.779, 260.024,  718.700, 259.728,  748.674, 259.633,  778.519, 259.384,  808.519, 259.223,  838.531, 259.218,  868.481, 258.911,  898.338, 258.928,  928.270, 258.832,  958.277, 258.739,  988.322, 258.577, 1018.304, 258.496, 1048.299, 258.482, 1078.296, 258.440, 1108.348, 258.362, 1138.292, 258.269, 1168.287, 258.282, 1198.290, 258.237, 1228.287, 258.213, 1258.282, 258.169, 1288.369, 258.138, 1318.269, 258.169, 1348.375, 258.144, 1378.307, 258.015, 1408.270, 258.084, 
     NaN,     NaN,   66.571, 281.776,   97.250, 284.964,  127.862, 285.448,  154.406, 286.580,  183.031, 289.492,  211.672, 291.983,  243.586, 293.379,  274.543, 295.929,  305.313, 297.940,  332.373, 294.531,  361.683, 293.774,  391.092, 292.978,  420.636, 292.333,  450.121, 291.990,  479.929, 291.439,  509.488, 291.133,  539.388, 290.737,  569.136, 290.409,  599.091, 290.217,  628.919, 290.062,  658.750, 289.817,  688.648, 289.541,  718.510, 289.407,  748.513, 289.224,  778.416, 289.113,  808.365, 288.948,  838.286, 288.785,  868.279, 288.700,  898.300, 288.579,  928.286, 288.517,  958.255, 288.505,  988.282, 288.322, 1018.263, 288.302, 1048.236, 288.178, 1078.239, 288.213, 1108.297, 288.074, 1138.378, 288.086, 1168.275, 288.035, 1198.310, 287.956, 1228.337, 287.920, 1258.363, 287.914, 1288.261, 287.930, 1318.309, 287.894, 1348.358, 287.823, 1378.421, 287.851, 1408.421, 287.869, 
     NaN,     NaN,   64.667, 297.667,   96.182, 301.364,  126.833, 305.667,  155.200, 309.771,  183.306, 314.694,  211.220, 319.829,  243.161, 323.452,  274.963, 326.973,  302.473, 324.445,  331.615, 323.236,  361.070, 322.552,  390.529, 322.222,  420.129, 321.613,  449.884, 321.278,  479.596, 320.914,  509.266, 320.604,  539.135, 320.341,  568.972, 320.116,  598.893, 319.759,  628.754, 319.613,  658.546, 319.504,  688.488, 319.349,  718.428, 319.157,  748.391, 318.987,  778.329, 318.826,  808.348, 318.705,  838.355, 318.650,  868.208, 318.515,  898.254, 318.433,  928.270, 318.308,  958.143, 318.213,  988.213, 318.094, 1018.209, 318.047, 1048.190, 317.988, 1078.218, 317.899, 1108.310, 317.894, 1138.240, 317.822, 1168.249, 317.789, 1198.361, 317.774, 1228.361, 317.714, 1258.351, 317.686, 1288.280, 317.698, 1318.355, 317.725, 1348.426, 317.638, 1378.445, 317.717, 1408.391, 317.616, 
     NaN,     NaN,   73.125, 328.500,  101.500, 334.750,  131.200, 341.800,  162.000, 345.400,  182.000, 349.400,  214.308, 357.231,  244.690, 356.262,  272.560, 354.045,  301.652, 353.135,  331.084, 352.428,  360.613, 351.932,  390.160, 351.394,  419.804, 351.082,  449.510, 350.688,  479.415, 350.482,  509.160, 350.251,  538.942, 349.850,  568.781, 349.585,  598.705, 349.483,  628.558, 349.389,  658.460, 349.227,  688.497, 349.112,  718.361, 348.868,  748.370, 348.685,  778.236, 348.614,  808.188, 348.514,  838.158, 348.417,  868.123, 348.229,  898.105, 348.189,  928.154, 348.124,  958.183, 348.019,  988.182, 347.922, 1018.197, 347.876, 1048.244, 347.786, 1078.218, 347.755, 1108.273, 347.711, 1138.361, 347.666, 1168.333, 347.625, 1198.295, 347.570, 1228.338, 347.553, 1258.333, 347.511, 1288.378, 347.472, 1318.378, 347.482, 1348.427, 347.462, 1378.474, 347.459, 1408.430, 347.482, 
     NaN,     NaN,   36.500, 370.500,   74.000, 375.000,  112.000, 371.500,  155.000, 380.500,  186.409, 386.545,  214.628, 385.678,  242.626, 383.787,  271.630, 382.812,  301.035, 382.183,  330.605, 381.749,  360.207, 381.337,  389.745, 380.915,  419.632, 380.490,  449.300, 380.305,  479.151, 380.100,  508.945, 379.826,  538.832, 379.519,  568.607, 379.420,  598.460, 379.177,  628.494, 379.033,  658.384, 378.862,  688.304, 378.714,  718.229, 378.564,  748.237, 378.499,  778.126, 378.392,  808.102, 378.273,  838.164, 378.121,  868.252, 378.063,  898.088, 377.992,  928.161, 377.926,  958.155, 377.822,  988.140, 377.770, 1018.220, 377.706, 1048.203, 377.660, 1078.232, 377.526, 1108.256, 377.517, 1138.228, 377.502, 1168.344, 377.431, 1198.333, 377.444, 1228.397, 377.377, 1258.391, 377.370, 1288.411, 377.371, 1318.417, 377.279, 1348.484, 377.318, 1378.527, 377.307, 1408.542, 377.360, 
     NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,  156.778, 418.222,  184.658, 415.467,  212.625, 413.519,  241.750, 412.694,  271.127, 412.207,  300.555, 411.653,  330.183, 411.223,  359.939, 410.844,  389.541, 410.434,  419.225, 410.257,  449.036, 409.947,  478.895, 409.705,  508.754, 409.432,  538.697, 409.303,  568.455, 409.143,  598.372, 408.900,  628.309, 408.769,  658.268, 408.613,  688.217, 408.509,  718.183, 408.376,  748.083, 408.217,  778.096, 408.167,  808.054, 408.084,  838.116, 407.925,  868.292, 407.778,  898.040, 407.737,  928.122, 407.700,  958.049, 407.663,  988.143, 407.515, 1018.182, 407.572, 1048.200, 407.456, 1078.250, 407.345, 1108.256, 407.329, 1138.291, 407.370, 1168.342, 407.244, 1198.323, 407.252, 1228.422, 407.248, 1258.412, 407.168, 1288.408, 407.213, 1318.472, 407.123, 1348.511, 407.173, 1378.535, 407.157, 1408.532, 407.194, 
     NaN,     NaN,      NaN,     NaN,      NaN,     NaN,  127.800, 446.600,  154.968, 445.477,  182.760, 443.661,  211.891, 442.612,  241.184, 442.006,  270.603, 441.485,  300.196, 441.123,  329.877, 440.713,  359.544, 440.445,  389.216, 440.146,  419.060, 440.005,  448.922, 439.676,  478.697, 439.549,  508.560, 439.184,  538.410, 439.007,  568.359, 438.939,  598.324, 438.804,  628.180, 438.596,  658.099, 438.467,  688.070, 438.374,  718.071, 438.212,  748.073, 438.167,  778.071, 438.014,  807.973, 437.918,  837.974, 437.836,  868.199, 437.758,  898.004, 437.683,  928.018, 437.581,  958.134, 437.524,  988.113, 437.450, 1018.163, 437.389, 1048.161, 437.343, 1078.229, 437.256, 1108.240, 437.243, 1138.300, 437.219, 1168.318, 437.155, 1198.398, 437.150, 1228.403, 437.111, 1258.394, 437.043, 1288.482, 437.068, 1318.551, 437.063, 1348.565, 437.040, 1378.674, 437.069, 1408.576, 437.038, 
     NaN,     NaN,      NaN,     NaN,      NaN,     NaN,  125.537, 475.679,  153.023, 473.565,  181.939, 472.599,  211.181, 471.958,  240.746, 471.437,  270.208, 470.953,  299.817, 470.661,  329.508, 470.335,  359.314, 470.130,  389.025, 469.788,  418.849, 469.629,  448.649, 469.472,  478.580, 469.217,  508.457, 468.991,  538.367, 468.865,  568.225, 468.680,  598.153, 468.589,  628.171, 468.332,  658.070, 468.273,  688.105, 468.151,  718.034, 468.032,  748.000, 467.925,  777.929, 467.859,  807.979, 467.745,  837.927, 467.639,  868.049, 467.559,  897.983, 467.568,  928.042, 467.491,  958.076, 467.385,  988.076, 467.324, 1018.158, 467.234, 1048.162, 467.238, 1078.162, 467.183, 1108.174, 467.143, 1138.250, 467.130, 1168.318, 466.979, 1198.353, 467.029, 1228.381, 467.007, 1258.443, 466.932, 1288.474, 466.976, 1318.523, 466.988, 1348.646, 466.957, 1378.805, 466.880, 1408.611, 466.788, 
     NaN,     NaN,      NaN,     NaN,   96.552, 505.984,  123.446, 503.493,  152.201, 502.418,  181.430, 501.947,  210.799, 501.456,  240.348, 501.116,  270.000, 500.679,  299.635, 500.286,  329.342, 499.995,  359.037, 499.823,  388.813, 499.506,  418.674, 499.167,  448.552, 499.122,  478.383, 498.899,  508.204, 498.796,  538.284, 498.632,  568.201, 498.385,  598.081, 498.340,  628.018, 498.201,  657.990, 498.083,  688.012, 497.946,  717.936, 497.846,  747.927, 497.753,  778.007, 497.666,  807.921, 497.632,  837.929, 497.549,  867.861, 497.578,  898.002, 497.355,  927.977, 497.345,  958.016, 497.277,  988.060, 497.275, 1018.127, 497.155, 1048.143, 497.125, 1078.194, 497.035, 1108.256, 497.052, 1138.266, 497.049, 1168.348, 496.934, 1198.401, 496.936, 1228.427, 496.937, 1258.462, 496.913, 1288.553, 496.947, 1318.571, 496.825, 1348.606, 496.831, 1378.619, 496.808, 1408.661, 496.887, 
