Thorlabs Shack-Hartmann Wavefront Sensor

Model                  ,       WFS20-5C
Serial Number          ,       M00578372

Date MM-DD-YYYY        ,       07-15-2024
Time HH:MM:SS          ,       11:35:43


*** CAMERA ***
Camera Type            ,       Thorlabs WFS20
Camera SN              ,       742
Resolution X           ,       1440
Resolution Y           ,       1080
Exposure Time [ms]     ,       0.015
Master Gain            ,       1.000
Averages               ,       1
Average Type           ,       Normal


*** BEAM ***
Beam Center X [mm]     ,      -2.178
Beam Center Y [mm]     ,       1.532
Beam Diameter X [mm]   ,       4.076
Beam Diameter Y [mm]   ,       3.099


*** PUPIL ***
Circular               ,       1
Use Beam Centroid      ,       0
Use Beam Dia           ,       0
Wavefront Calc In Pupil,       0
Pupil Diameter X [mm]  ,       5.304
Pupil Diameter Y [mm]  ,       5.304
Pupil Center X [mm]    ,       0.000
Pupil Center Y [mm]    ,       0.000


*** POWER DISTRIBUTION [a.u.] ***
Power points X         ,       47
Power points Y         ,       35
    3832,    4150,    4014,    3914,    3839,    3568,    3396,    3370,    3189,    2868,    2863,    2750,    2377,    2308,    2039,    1907,    1693,    1647,    1492,    1240,    1085,    1007,     689,     504,     626,     514,     424,     334,     279,     180,     158,     110,      68,      52,      19,       5,       1,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,       9,      17,     NaN,
    3862,    3646,    3690,    3777,    3484,    3506,    3201,    3152,    2932,    2813,    2702,    2530,    2342,    2191,    1837,    1766,    1736,    1529,    1284,    1176,    1077,     968,     515,     613,     576,     493,     394,     245,     242,     175,     133,      87,      64,      25,       9,      10,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
    3606,    3599,    3283,    3448,    3355,    3281,    3002,    3019,    2774,    2660,    2523,    2365,    2266,    2170,    1806,    1685,    1569,    1429,    1214,    1126,     859,     846,     681,     659,     539,     479,     360,     280,     243,     179,     110,      71,      44,      14,      12,       8,     NaN,       8,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,      27,     NaN,     NaN,
    3463,    3221,    3405,    3253,    3164,    3001,    2620,    2681,    2616,    2596,    2357,    2251,    2025,    1889,    1770,    1666,    1480,    1286,    1315,    1008,     965,     788,     624,     571,     569,     428,     326,     274,     231,     157,     118,      62,      58,      28,      13,       4,       4,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,      97,     NaN,     NaN,
    3258,    3123,    2806,    3051,    2935,    2834,    2703,    2562,    2426,    2204,    2190,    2164,    1902,    1729,    1627,    1506,    1375,    1211,    1157,     975,     863,     716,     598,     580,     451,     367,     296,     204,     164,     141,     111,      43,      56,      10,       5,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
    3051,    2899,    2815,    2776,    2768,    2581,    2581,    2378,    2331,    2106,    2038,    1925,    1740,    1623,    1575,    1369,    1177,    1109,     961,     814,     779,     704,     630,     531,     450,     296,     270,     174,     185,      98,      68,      59,      32,      20,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
    2724,    2533,    2604,    2581,    2511,    2523,    2371,    2259,    2153,    1925,    1803,    1737,    1647,    1544,    1397,    1194,    1176,    1027,     883,     737,     683,     661,     533,     420,     314,     288,     132,      85,      32,      19,      78,      33,      24,       3,       6,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,      99,     NaN,     NaN,     NaN,
    2515,    2463,    2361,    2360,    2297,    2222,    1964,    2095,    1937,    1773,    1622,    1580,    1478,    1292,    1174,    1134,     996,     866,     768,     665,     581,     512,     394,     352,     293,     236,     195,     130,     107,      15,      75,      32,      10,     NaN,       3,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
    2159,    2162,    2231,    2170,    2176,    2021,    1873,    1836,    1698,    1599,    1516,    1454,    1260,    1218,    1073,    1043,     868,     795,     739,     643,     552,     502,     389,     293,     239,     185,     163,     107,      64,     NaN,      50,      16,       3,       2,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,      46,     NaN,     NaN,     NaN,     NaN,
    2066,    2037,    1943,    2030,    1831,    1901,    1621,    1711,    1566,    1485,    1483,    1318,    1225,    1051,     931,     840,     795,     711,     610,     587,     498,     430,     300,     266,     236,     221,     127,      95,      64,     NaN,      31,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,      31,     NaN,     NaN,     NaN,     NaN,
