"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(339, 38)","(370, 39)","(401, 40)","(432, 41)","(463, 42)","(494, 43)","(513, 58)","(544, 59)","(567, 55)","(598, 56)","(629, 57)","(660, 58)","(692, 60)","(722, 59)","(750, 56)","(780, 55)","(809, 54)","(839, 54)","(869, 53)","(899, 53)","(929, 53)","(958, 52)","(988, 52)","(1018, 52)","(1048, 52)","(1078, 52)","(1108, 51)","(1138, 51)","(1168, 51)","(1198, 51)","(1228, 51)","(1258, 51)","(1288, 51)","(1317, 51)","(1348, 51)","(1377, 51)","(1406, 50)"
"(0, 0)","(65, 68)","(96, 70)","(127, 71)","(151, 75)","(182, 76)","(213, 77)","(244, 78)","(265, 64)","(296, 65)","(327, 66)","(358, 67)","(389, 68)","(410, 73)","(441, 74)","(472, 75)","(508, 85)","(539, 86)","(570, 87)","(601, 88)","(633, 89)","(661, 87)","(690, 85)","(720, 84)","(750, 84)","(779, 83)","(809, 83)","(839, 82)","(869, 82)","(899, 82)","(929, 82)","(958, 81)","(988, 81)","(1018, 81)","(1048, 81)","(1078, 81)","(1108, 81)","(1138, 80)","(1168, 80)","(1198, 80)","(1228, 80)","(1258, 80)","(1288, 80)","(1318, 80)","(1348, 80)","(1378, 80)","(1406, 81)"
"(0, 0)","(49, 95)","(80, 96)","(111, 97)","(142, 98)","(172, 99)","(203, 100)","(234, 101)","(252, 94)","(297, 102)","(328, 103)","(359, 104)","(390, 105)","(421, 106)","(448, 114)","(479, 115)","(511, 116)","(542, 117)","(573, 119)","(602, 117)","(630, 115)","(660, 114)","(690, 113)","(719, 113)","(749, 112)","(779, 112)","(809, 112)","(839, 111)","(869, 111)","(899, 111)","(928, 111)","(958, 111)","(988, 110)","(1018, 110)","(1048, 110)","(1078, 110)","(1108, 110)","(1138, 110)","(1168, 110)","(1198, 110)","(1228, 110)","(1258, 110)","(1288, 110)","(1318, 110)","(1348, 110)","(1378, 110)","(1408, 110)"
"(0, 0)","(62, 125)","(93, 126)","(124, 127)","(154, 128)","(185, 129)","(216, 130)","(234, 138)","(265, 139)","(296, 140)","(327, 141)","(358, 143)","(389, 144)","(420, 145)","(451, 147)","(482, 148)","(514, 149)","(542, 147)","(571, 144)","(600, 144)","(630, 143)","(659, 142)","(689, 142)","(719, 142)","(749, 141)","(779, 141)","(809, 141)","(839, 141)","(868, 140)","(898, 140)","(928, 140)","(958, 140)","(988, 140)","(1018, 140)","(1048, 139)","(1078, 139)","(1108, 139)","(1138, 139)","(1168, 139)","(1198, 139)","(1228, 139)","(1258, 139)","(1288, 139)","(1318, 139)","(1348, 139)","(1378, 139)","(1408, 139)"
"(0, 0)","(53, 153)","(84, 155)","(116, 157)","(146, 159)","(176, 161)","(207, 163)","(238, 165)","(269, 167)","(300, 169)","(331, 171)","(361, 173)","(392, 175)","(423, 177)","(454, 178)","(483, 177)","(511, 174)","(540, 174)","(570, 173)","(600, 172)","(629, 172)","(659, 172)","(689, 171)","(719, 171)","(749, 171)","(779, 170)","(808, 170)","(838, 170)","(868, 170)","(898, 170)","(928, 170)","(958, 169)","(988, 169)","(1018, 169)","(1048, 169)","(1078, 169)","(1108, 169)","(1138, 169)","(1168, 169)","(1198, 169)","(1228, 169)","(1258, 169)","(1288, 169)","(1318, 169)","(1348, 169)","(1378, 169)","(1408, 169)"
"(0, 0)","(54, 193)","(85, 194)","(116, 196)","(147, 197)","(177, 199)","(209, 200)","(240, 201)","(271, 202)","(302, 204)","(332, 205)","(362, 206)","(393, 207)","(424, 208)","(452, 205)","(481, 204)","(510, 203)","(540, 202)","(569, 202)","(599, 201)","(629, 201)","(659, 201)","(689, 200)","(719, 200)","(748, 200)","(778, 200)","(808, 200)","(838, 199)","(868, 199)","(898, 199)","(928, 199)","(958, 199)","(988, 199)","(1018, 199)","(1048, 199)","(1078, 199)","(1108, 199)","(1138, 198)","(1168, 198)","(1198, 198)","(1228, 198)","(1258, 198)","(1288, 198)","(1318, 198)","(1348, 198)","(1378, 198)","(1408, 198)"
"(0, 0)","(55, 210)","(86, 212)","(117, 213)","(148, 216)","(178, 219)","(209, 222)","(241, 226)","(273, 229)","(304, 232)","(334, 235)","(364, 238)","(393, 237)","(421, 234)","(451, 233)","(480, 233)","(510, 232)","(540, 232)","(569, 231)","(599, 231)","(629, 230)","(659, 230)","(688, 230)","(718, 230)","(748, 230)","(778, 229)","(808, 229)","(838, 229)","(868, 229)","(898, 229)","(928, 229)","(958, 229)","(988, 228)","(1018, 228)","(1048, 228)","(1078, 228)","(1108, 228)","(1138, 228)","(1168, 228)","(1198, 228)","(1228, 228)","(1258, 228)","(1288, 228)","(1318, 228)","(1348, 228)","(1378, 228)","(1408, 228)"
"(0, 0)","(54, 241)","(86, 243)","(116, 246)","(147, 250)","(176, 253)","(208, 257)","(239, 259)","(271, 263)","(303, 265)","(335, 268)","(362, 265)","(391, 264)","(421, 263)","(450, 262)","(480, 262)","(509, 261)","(539, 261)","(569, 260)","(599, 260)","(628, 260)","(658, 260)","(688, 260)","(718, 259)","(748, 259)","(778, 259)","(808, 259)","(838, 259)","(868, 258)","(898, 258)","(928, 258)","(958, 258)","(988, 258)","(1018, 258)","(1048, 258)","(1078, 258)","(1108, 258)","(1138, 258)","(1168, 258)","(1198, 258)","(1228, 258)","(1258, 258)","(1288, 258)","(1318, 258)","(1348, 258)","(1378, 258)","(1408, 258)"
"(0, 0)","(66, 281)","(97, 284)","(127, 285)","(154, 286)","(183, 289)","(211, 291)","(243, 293)","(274, 295)","(305, 297)","(332, 294)","(361, 293)","(391, 292)","(420, 292)","(450, 291)","(479, 291)","(509, 291)","(539, 290)","(569, 290)","(599, 290)","(628, 290)","(658, 289)","(688, 289)","(718, 289)","(748, 289)","(778, 289)","(808, 288)","(838, 288)","(868, 288)","(898, 288)","(928, 288)","(958, 288)","(988, 288)","(1018, 288)","(1048, 288)","(1078, 288)","(1108, 288)","(1138, 288)","(1168, 288)","(1198, 287)","(1228, 287)","(1258, 287)","(1288, 287)","(1318, 287)","(1348, 287)","(1378, 287)","(1408, 287)"
"(0, 0)","(64, 297)","(96, 301)","(126, 305)","(155, 309)","(183, 314)","(211, 319)","(243, 323)","(274, 326)","(302, 324)","(331, 323)","(361, 322)","(390, 322)","(420, 321)","(449, 321)","(479, 320)","(509, 320)","(539, 320)","(568, 320)","(598, 319)","(628, 319)","(658, 319)","(688, 319)","(718, 319)","(748, 318)","(778, 318)","(808, 318)","(838, 318)","(868, 318)","(898, 318)","(928, 318)","(958, 318)","(988, 318)","(1018, 318)","(1048, 317)","(1078, 317)","(1108, 317)","(1138, 317)","(1168, 317)","(1198, 317)","(1228, 317)","(1258, 317)","(1288, 317)","(1318, 317)","(1348, 317)","(1378, 317)","(1408, 317)"
