Thorlabs Shack-Hartmann Wavefront Sensor

Model                  ,       WFS20-5C
Serial Number          ,       M00578372

Date MM-DD-YYYY        ,       06-27-2024
Time HH:MM:SS          ,       10:27:51


*** CAMERA ***
Camera Type            ,       Thorlabs WFS20
Camera SN              ,       742
Resolution X           ,       1440
Resolution Y           ,       1080
Exposure Time [ms]     ,       0.101
Master Gain            ,       1.000
Averages               ,       1
Average Type           ,       Normal


*** BEAM ***
Beam Center X [mm]     ,         NaN
Beam Center Y [mm]     ,         NaN
Beam Diameter X [mm]   ,         NaN
Beam Diameter Y [mm]   ,         NaN


*** PUPIL ***
Circular               ,       1
Use Beam Centroid      ,       1
Use Beam Dia           ,       0
Wavefront Calc In Pupil,       0
Pupil Diameter X [mm]  ,       3.000
Pupil Diameter Y [mm]  ,       3.000
Pupil Center X [mm]    ,       0.000
Pupil Center Y [mm]    ,       0.000


*** POWER DISTRIBUTION [a.u.] ***
Power points X         ,       47
Power points Y         ,       35
    3014,    2956,    3100,    3031,    3161,    2974,    2991,    3133,    2936,    2873,    2817,    2990,    2868,    2836,    2437,    2459,    2427,    2137,    2599,    3725,    2590,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     392,     455,     327,     395,       0,       0,       0,     709,     778,     819,
    2727,    3085,    2776,    2956,    2975,    2950,    2931,    2866,    2811,    2857,    2824,    2709,    2641,    2933,    2864,    2285,    2136,    2077,    1842,    2180,     836,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     387,     480,       0,     394,       0,       0,       0,     784,     802,     787,     873,
    2606,    2776,    2826,    2752,    2945,    2619,    2678,    2629,    2663,    2888,    2685,    2512,    2554,    2398,    2122,    1895,    1952,    1510,    1641,    1380,     484,       0,       0,     669,     358,     624,       0,     508,       0,       0,       0,       0,       0,       0,       0,       0,     387,     480,       0,     394,       0,       0,       0,     784,     802,     787,     873,
    2284,    2589,    2652,    2557,    2537,    2795,    2718,    2502,    2831,    2653,    2507,    2570,    2459,    1802,    1904,    1740,    2263,    2379,    1893,     695,       0,       0,       0,    5522,    4119,    3795,    2788,    4493,       0,       0,       0,       0,       0,    1082,    5131,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
    3155,    3206,    2545,    2334,    2131,    2641,    2423,    2403,    2497,    2173,    2435,    2606,    2642,    2754,    2226,    2011,    1112,     501,       0,       0,       0,       0,       0,    2193,     722,    2089,    2631,    1393,     489,       0,       0,       0,       0,    1071,    3207,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
     707,    1427,    1816,    2470,    3054,    3147,    2978,    2728,    3127,    2552,    1752,    1575,     976,     814,     353,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1196,    4039,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,     386,     697,    1119,     879,     798,     800,     479,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1284,    4647,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     435,     442,    1059,     770,     950,       0,       0,       0,       0,       0,     804,    4980,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    3355,    4535,    3960,    5291,    5930,     715,       0,       0,       0,       0,    1400,    5262,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
     444,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1182,    1831,    1644,    1637,    1603,       0,       0,       0,       0,       0,     901,    4981,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1724,    1177,     978,     475,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     933,    4951,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1092,     944,    1142,     901,    1350,       0,       0,       0,       0,       0,    4478,     901,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,     346,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     306,       0,     433,    5730,    4851,    6626,    5049,    5496,     548,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,     751,    2299,    1415,    1503,    1507,    1413,    1439,    1435,    1381,    1403,    1393,    1296,    1237,    1254,    1071,    1470,     681,    1364,    1458,    1113,    1440,    1189,       0,       0,       0,     339,       0,       0,       0,   15494,   12505,   15008,   13689,   14621,   14276,   13972,   12798,   12956,   10826,   10173,   10326,
       0,       0,       0,       0,       0,       0,       0,     822,    1443,    1033,     942,     984,     928,     975,     992,     794,     801,     813,     803,     787,    1073,     404,       0,       0,       0,       0,       0,       0,       0,       0,    2838,       0,       0,    2123,       0,    6317,    5703,    5480,    5476,    4622,    3986,    3785,    3288,    3221,    2431,    2422,    1380,
       0,       0,       0,       0,       0,       0,       0,       0,     828,     986,    1033,     963,     938,     984,     962,     861,     878,     840,     801,    1058,     583,       0,       0,    3112,     265,       0,       0,       0,    2990,    2735,    2421,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,     983,     878,     891,     832,     869,     814,     824,     799,     794,     845,     708,       0,       0,       0,       0,       0,       0,       0,    2286,    1096,       0,       0,       0,       0,       0,       0,     266,     367,       0,     276,     520,     472,     405,     364,     337,     263,     418,     413,
     452,     474,     634,       0,       0,       0,       0,       0,       0,     502,    1148,     732,     788,     821,     772,     778,     785,     730,     810,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1499,     367,     377,       0,       0,       0,       0,       0,       0,       0,       0,     406,     248,       0,       0,       0,     295,     311,     327,
     482,     420,     494,       0,       0,       0,       0,       0,       0,       0,     681,     859,     727,     691,     729,     709,     617,     779,       0,       0,       0,       0,       0,     326,     305,     457,       0,       0,       0,    1271,    1517,    2067,     691,       0,       0,     246,       0,       0,       0,     268,     295,     249,       0,       0,       0,     192,       0,
     383,     401,     432,       0,       0,       0,       0,       0,       0,       0,       0,     755,     631,     689,     674,     575,     763,       0,       0,       0,       0,       0,       0,    3466,    3516,    4180,    1334,       0,       0,       0,       0,       0,       0,       0,       0,       0,     255,     282,       0,     259,       0,       0,     235,       0,       0,       0,     225,
